date,time,US_NF_EC_MoM_Actual,US_NF_EC_MoM_Srv_Med,US_NF_EC_MoM_Prior,US_NF_EC_MoM_Revised,US_NF_UER_MoM_Actual,US_NF_UER_MoM_Srv_Med,US_NF_UER_MoM_Prior,US_NF_UER_MoM_Revised,US_NF_HWR_MoM_Actual,US_NF_HWR_MoM_Srv_Med,US_NF_HWR_MoM_Prior,US_NF_HWR_MoM_Revised
2023/5/5,20:30:00,253,236,236,165,3.4,3.5,3.5,3.5,0.5,0.3,0.3,0.3
2023/3/10,21:30:00,311,205,517,504,3.6,3.4,3.4,3.4,0.2,0.3,0.3,0.3
2023/2/3,21:30:00,517,185,223,260,3.4,3.6,3.5,3.5,0.3,0.3,0.3,0.4
2023/1/6,21:30:00,223,200,263,256,3.5,3.7,3.7,3.6,0.3,0.4,0.6,0.4
2022/12/2,21:30:00,263,200,261,284,3.7,3.7,3.7,3.7,0.6,0.3,0.4,0.5
2022/11/4,20:30:00,261,200,263,315,3.7,3.6,3.5,3.5,0.4,0.3,0.3,0.3
2022/10/7,20:30:00,263,250,315,315,3.5,3.7,3.7,3.7,0.3,0.3,0.3,0.3
2022/9/2,20:30:00,315,300,528,526,3.7,3.5,3.5,3.5,0.3,0.4,0.5,0.5
2022/8/5,20:30:00,528,250,372,398,3.5,3.6,3.6,3.6,0.5,0.3,0.3,0.4
2022/7/8,20:30:00,372,268,390,384,3.6,3.6,3.6,3.6,0.3,0.3,0.3,0.4
2022/6/3,20:30:00,390,325,428,436,3.6,3.5,3.6,3.6,0.3,0.4,0.3,0.3
2022/5/6,20:30:00,428,391,431,428,3.6,3.5,3.6,3.6,0.3,0.4,0.4,0.5
2022/4/1,20:30:00,431,490,678,750,3.6,3.7,3.8,3.8,0.4,0.4,0,0.1
2022/3/4,21:30:00,678,400,467,481,3.8,3.9,4,4,0,0.5,0.7,0.6
2022/2/4,21:30:00,467,150,199,510,4,3.9,3.9,3.9,0.7,0.5,0.6,0.5
2022/1/7,21:30:00,199,400,210,249,3.9,4.1,4.2,4.2,0.6,0.4,0.3,0.4
2021/12/3,21:30:00,210,550,531,546,4.2,4.5,4.6,4.6,0.3,0.4,0.4,0.4
2021/11/5,20:30:00,531,450,194,312,4.6,4.7,4.8,4.8,0.4,0.4,0.6,0.6
2021/10/8,20:30:00,194,500,235,366,4.8,5.1,5.2,5.2,0.6,0.4,0.6,0.4
2021/9/3,20:30:00,235,750,943,1053,5.2,5.2,5.4,5.4,0.6,0.3,0.4,0.4
2021/8/6,20:30:00,943,870,850,938,5.4,5.7,5.9,5.9,0.4,0.3,0.3,0.4
2021/7/2,20:30:00,850,700,559,583,5.9,5.7,5.8,5.8,0.3,0.4,0.5,0.4
2021/6/4,20:30:00,559,650,266,278,5.8,5.9,6.1,6.1,0.5,0.2,0.7,0.7
2021/5/7,20:30:00,266,978,916,770,6.1,5.8,6,6,0.7,0.1,-0.1,-0.1
2021/3/5,21:30:00,379,182,49,166,6.2,6.3,6.3,6.3,0.2,0.2,0.2,0.1
2021/2/5,21:30:00,49,50,-140,-227,6.3,6.7,6.7,6.7,0.2,0.3,0.8,1
2021/1/8,21:30:00,-140,71,245,336,6.7,6.8,6.7,6.7,0.8,0.2,0.3,0.3
2020/12/4,21:30:00,245,469,638,610,6.7,6.8,6.9,6.9,0.3,0.1,0.1,0.1
2020/11/6,21:30:00,638,600,661,672,6.9,7.7,7.9,7.9,0.1,0.2,0.1,0.1
2020/10/2,21:30:00,661,850,1371,1489,7.9,8.2,8.4,8.4,0.1,0.2,0.4,0.3
2020/9/4,21:30:00,1371,1400,1763,1734,8.4,9.8,10.2,10.2,0.4,0,0.2,0.1
2020/8/7,21:30:00,1763,1600,4800,4791,10.2,10.5,11.1,11.1,0.2,-0.5,-1.2,-1.3
2020/7/2,21:30:00,4800,3000,2509,2699,11.1,12.3,13.3,13.3,-1.2,-0.7,-1,-1
2020/6/5,21:30:00,2509,-8000,-20500,-20687,13.3,19.7,14.7,14.7,-1,1,4.7,4.7
