datetime,3s_1min,3s_3min,3s_5min,3s_15min,3s_30min,3s_60min
2023/7/7 20:30,,,,,,
2023/6/2 20:30,1.016,-1.544,3.05,-2.404,-3.841,1.276
2023/5/5 20:30,0.57,0.273,2.84,-15.607,-13.787,-15.957
2023/4/7 20:30,,,,,,
2023/3/10 21:30,3.22,0.616,3.726,7.709,6.299,13.269
2023/2/3 21:30,-1.45,-1.91,-8.142,-16.8,-18.18,-24.07
2023/1/6 21:30,-2.339,0.428,-0.409,7.391,11.361,5.491
2022/12/2 21:30,-3.88,-4.701,-2.89,-6.261,-4.241,-4.111
2022/11/4 20:30,2.779,6.229,4.03,11.16,14.69,19.69
2022/10/7 20:30,0.497,-0.195,3.747,-4.189,-7.549,-4.079
2022/9/2 20:30,1.072,0.115,0.008,-5.251,-0.855,0.805
2022/8/5 20:30,-3.461,-7.741,-4.947,-8.721,-13.511,-11.947
2022/7/8 20:30,-4.763,-2.373,3.082,-2.778,-0.718,2.423
2022/6/3 20:30,-0.562,0.668,-1.052,-6.108,-6.518,-4.082
2022/5/6 20:30,1.76,0.045,1.72,-1.801,-9.71,-5.92
2022/4/1 20:30,-1.551,-1.935,-1.59,1.435,-3.07,-6.115
2022/3/4 21:30,0.756,0.717,2.037,-0.079,2.726,6.516
2022/2/4 21:30,-2.34,-6.69,-8.41,-11.652,-14.1,-9.79
2022/1/7 21:30,1.199,-2.66,0.41,-1.82,-2.84,-0.03
2021/12/3 21:30,2.97,0.07,-4.082,-0.83,-4.097,-2.97
2021/11/5 20:30,-2.182,-3.912,-3.342,-1.062,-0.632,10.172
2021/10/8 20:30,1.53,3.32,4.36,8.51,9.58,12.65
2021/9/3 20:30,0.33,6.01,2.6,-2.936,1.041,1.514
2021/8/6 20:30,-6.806,-5.482,-7.003,-17.213,-20.763,-24.832
2021/7/2 20:30,1.864,8.804,10.664,12.414,13.214,11.954
2021/6/4 20:30,2.989,3.54,5.043,6.86,8.49,10.49
2021/5/7 20:30,6.224,12.685,13.732,16.222,17.282,9.682
2021/4/2 20:30,,,,,,
2021/3/5 21:30,-2.214,-4.037,-2.663,5.237,0.646,10.617
2021/2/5 21:30,3.485,3.778,5.266,3.928,0.658,3.148
2021/1/8 21:30,-3.669,-1.99,-5.05,-8.22,3.37,-1.633
2020/12/4 21:30,2.293,-1.99,-3.89,-4.19,-5.957,-1.436
2020/11/6 21:30,-2.42,-2.56,-1.8,3.28,3.64,-1.637
2020/10/2 21:30,1.787,0.827,0.16,-2.12,0.017,1.02
2020/9/4 21:30,1.143,3.743,4.683,0.83,-0.37,-1.157
